label,x1,x2
0.0, 1.1523, 0.8386
0.0, 0.5635,-0.0168
1.0, 2.2031, 3.4973
0.0, 0.4378, 1.4722
0.0,-0.8398, 0.9343
0.0,-1.3140,-0.4222
1.0, 1.5641, 2.6837
0.0,-0.8914, 0.0259
1.0, 3.8181, 2.8003
1.0, 0.8594, 1.5690
1.0, 3.6667, 4.5923
0.0, 0.5700,-0.3704
0.0, 1.2275, 1.6416
1.0, 2.8680, 3.0760
1.0, 2.8650, 1.5131
1.0, 2.8321, 2.8063
0.0,-0.0204, 2.2455
1.0, 1.9801, 3.0970
1.0, 2.4644, 0.7628
1.0, 3.1622, 1.9833
1.0, 2.4467, 2.6863
0.0,-0.1827, 0.8872
1.0, 4.2115, 1.8805
1.0, 2.1337, 1.9376
1.0, 1.4423, 2.5262
1.0, 2.1297, 2.0786
1.0, 2.9856, 1.5990
0.0,-1.0562, 0.0557
1.0, 1.3128, 3.2813
1.0, 2.1665, 2.4686
0.0,-0.6005,-0.5379
1.0, 1.4775, 2.4570
1.0, 2.9638, 2.6597
0.0, 1.5816, 1.2452
1.0, 1.6346, 2.4965
0.0, 0.1585,-0.3187
1.0, 5.1545, 1.8267
0.0, 1.5624,-0.3147
0.0,-0.5916, 0.8704
1.0, 2.8399, 3.1910
1.0, 0.3651, 1.9701
1.0, 3.4140, 2.8471
0.0,-1.7952,-1.6119
1.0, 1.2653, 2.0431
0.0, 0.2925, 0.0185
1.0, 1.8472, 2.4489
0.0,-1.6019, 0.6407
0.0, 1.3898, 0.3164
0.0,-1.1007,-0.6626
1.0, 2.1799, 2.2469
1.0, 3.1302, 2.2862
1.0, 4.5248, 3.6556
0.0, 0.2314,-0.5353
0.0, 1.5735,-1.0544
0.0, 1.2681,-0.9495
0.0, 1.1555, 0.6685
1.0, 2.6320, 3.0539
1.0, 3.1979, 3.0305
0.0,-0.8999, 0.1227
0.0,-0.5684,-0.3926
0.0, 1.9677, 2.0490
1.0, 1.4310, 2.8000
1.0, 2.8264, 0.8341
0.0, 0.2796,-3.1969
1.0, 0.9186, 1.3184
1.0, 4.1704, 2.3371
0.0,-1.0415, 1.1371
1.0, 2.6017, 1.0612
1.0, 2.4389, 1.4334
0.0,-0.7824, 0.0955
0.0,-0.9360, 1.0479
0.0,-1.3230, 0.8862
0.0,-1.0130,-0.4716
0.0,-1.6946,-1.0050
0.0,-0.0908,-0.4230
0.0, 0.7658,-0.7637
0.0, 1.6427, 0.2522
1.0, 2.7974, 0.9199
1.0, 4.2953, 3.6641
0.0,-1.2164,-1.3040
1.0, 3.3651, 1.7274
1.0, 2.8550, 0.9220
0.0, 0.0439, 0.6011
1.0, 4.2158, 1.8412
0.0, 0.0300,-0.4539
1.0, 0.8900, 2.7136
0.0, 0.1298, 1.0197
1.0, 3.3848, 1.9029
0.0, 0.2922, 0.3519
0.0,-0.9981,-0.0516
1.0, 3.0582, 2.8840
1.0, 2.7993, 2.5920
0.0, 1.5625, 1.0437
0.0, 0.1110,-1.5830
0.0,-0.4260,-0.9913
1.0, 1.1361, 1.2315
0.0,-1.0131, 0.1332
0.0,-0.7946, 0.6878
1.0, 3.0393,-0.0232
0.0,-0.1219, 0.1370
0.0, 0.8750,-0.2674
1.0, 3.2542, 3.0346
0.0, 1.6024, 0.2095
1.0, 3.4164, 3.3219
0.0,-1.5850,-1.4846
0.0,-1.0962, 1.3054
0.0, 0.6056,-0.2294
1.0, 1.4703, 1.9021
1.0, 2.7641, 1.8956
0.0, 0.5624, 0.2822
1.0, 1.6543, 2.6068
0.0, 0.1221,-0.1972
1.0, 3.4026, 1.9766
0.0, 1.5403, 0.6902
0.0,-1.1201,-0.8116
1.0, 2.9051, 4.0188
1.0, 2.2754, 4.0335
0.0, 1.1710, 0.6807
0.0,-0.3443,-0.1030
0.0,-0.3898,-0.6451
0.0,-0.4571,-1.7079
0.0,-0.8976,-0.6467
0.0, 1.1328,-1.8022
0.0,-1.0400, 2.0064
0.0, 1.4963,-0.0213
1.0, 1.7407, 4.6975
1.0, 3.1457, 1.8189
0.0, 1.1785,-1.2083
1.0, 2.5378, 3.4034
1.0, 1.4264, 2.1967
0.0,-1.1280,-1.1825
